,Latitud,Longitud
Ciudad de México,19.42847,-99.12766
Guadalajara,20.66682,-103.39182
Puebla,19.03793,-98.20346
Monterrey,25.67507,-100.31847
Chihuahua,28.63528,-106.08889
Mérida,20.97537,-89.61696
San Luis,22.14982,-100.97916
Hermosillo,29.1026,-110.97732
Saltillo,25.42321,-101.0053
Mexicali,32.62781,-115.45446
La Paz,24.1164209,-110.3727682
Morelia,19.70078,-101.18443
Aguascalientes,21.8857199,-102.3613409
Campeche,19.8305579,-90.6148583
Colima,19.2400444,-103.7636275
Tuxtla Gutiérrez,16.7459857,-93.1996112
Durango,24.5783354,-107.0863839
Guanajuato,21.0251042,-101.2928999
Chilpancingo,17.5476979,-99.5674567
Pachuca,20.0825056,-98.8268193
Toluca,19.294099,-99.7012549
Cuernavaca,18.9318685,-99.3106063
Tepic,21.5009712,-104.9469459
Oaxaca,17.0812861,-96.8057729
Querétaro,20.6121228,-100.4802585
Chetumal,18.5221567,-88.3397985
Culicán,24.8049008,-107.4933553
Villahermosa,17.992517,-93.0231625
Ciudad Victoria,23.740981,-99.2133793
Tlaxcala,19.416135,-98.7274527
Xalapa,19.5420361,-96.9549493
Zacatecas,23.0676883,-104.7929726